condition_id,matched_group_id,game,split,private_state,belief,objective,value_margin,strategy,expected_action,top1_text,formatting_compliant,correct,legal_choice,legal_choice_correct,regret,output_entropy,chosen_probability
chameleon-dis-07cf03d98b42,chameleon-discovery-05,chameleon,discovery,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.9574268168952865,0.5234452526853023
chameleon-dis-0cc4624da7fb,chameleon-discovery-00,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.9919782496997598,0.5066384590688617
chameleon-dis-2bdad3ebef24,chameleon-discovery-03,chameleon,discovery,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.9574268168952865,0.5234452526853023
chameleon-dis-4ba94e96bb30,chameleon-discovery-01,chameleon,discovery,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.9574268168952865,0.5234452526853023
chameleon-dis-4bc90b8afc25,chameleon-discovery-04,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.9919782496997598,0.5066384590688617
chameleon-dis-62060e2625b1,chameleon-discovery-03,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,0.9875656156944704,0.5282521422133428
chameleon-dis-650ec0cbc175,chameleon-discovery-00,chameleon,discovery,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.5157701710769331,0.8504492765946786
chameleon-dis-6519607f2ba9,chameleon-discovery-02,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.9919782496997598,0.5066384590688617
chameleon-dis-83f7f75b8840,chameleon-discovery-01,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,0.9875656156944704,0.5282521422133428
chameleon-dis-98fa21905de0,chameleon-discovery-05,chameleon,discovery,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,A,True,True,A,True,0.0,0.9875656156944704,0.5282521422133428
